Year,Southern Ontario,Northern Ontario,Alberta,Eastern Ontario,Northwestern Ontario,Manitoba,New Heights,Other
1988,22,,,,,,,
1989,47,,,,,,,
1990,67,,,,,,,
1991,43,,,,,,,
1992,43,18,,,,,,
1993,43,21,,,,,,
1994,48,24,,,,,,
1995,46,42,,,,,,
1996,52,29,,,,,,
1997,52,29,,,,,,
1998,46,32,16,,,,,
1999,49,40,26,,,,,
2000,47,41,19,10,,,,
2001,34,39,17,15,,,,
2002,44,33,19,5,17,,,
2003,41,32,12,6,16,,,
2004,42,36,9,9,13,,,
2005,46,39,13,11,16,7,,
2006,43,39,13,15,15,8,,
2007,45,33,13,13,15,9,26,
2008,45,40,18,19,15,12,31,
2009,53,34,17,20,18,10,31,
2010,53,46,16,22,14,11,33,
2011,50,43,16,25,13,10,30,
2012,42,47,12,27,9,11,38,
2013,41,52,12,29,12,15,39,6
2014,44,58,16,29,13,14,40,6
2015,46,55,12,30,12,14,39,9
2016,52,50,10,34,11,17,32,0
2017,57,54,17,33,12,19,33,10
