Year,Southern Ontario,Northern Ontario,Alberta,Eastern Ontario,Northwestern Ontario,Manitoba,New Heights,Other
1988,0,,,,,,,
1989,0,,,,,,,
1990,0,,,,,,,
1991,0,,,,,,,
1992,0,0,,,,,,
1993,0,0,,,,,,
1994,0,0,,,,,,
1995,0,0,,,,,,
1996,0,0,,,,,,
1997,0,0,,,,,,
1998,0,0,0,,,,,
1999,0,0,0,,,,,
2000,0,0,0,0,,,,
2001,0,0,0,0,,,,
2002,3,2,0,14,7,,,
2003,1,3,14,11,11,,,
2004,3,3,8,12,12,,,
2005,0,2,7,11,13,2,,
2006,3,3,13,6,13,4,,
2007,8,6,12,5,12,4,4,
2008,8,4,10,11,14,9,10,
2009,6,2,11,6,11,9,14,
2010,2,9,10,2,9,9,13,
2011,2,3,12,8,1,9,9,
2012,10,7,9,6,7,11,8,
2013,3,13,13,5,7,14,8,
2014,6,12,11,7,7,19,20,6
2015,14,10,15,15,7,23,14,2
2016,6,14,11,7,8,29,10,0
2017,7,16,20,10,8,32,18,0
